"","obsevationID","Gradient","plotID","plotCode","plotElev","GradPlot","subplot","individual","linearDistance","perpendicularDistance","habit","acceptedFamily","acceptedGenus","acceptedSpecies","acceptedAuthor","TaxonFinal","FullTaxonFinal"
"1",676139,"Guanacaste",26284,"HACHAL",3,"GU-1","X","32","42.2","NULL","T","Anacardiaceae","Spondias","Spondias purpurea","L.","spondias_purpurea","Anacardiaceae/Spondias/Spondias_purpurea"
"2",676140,"Guanacaste",26284,"HACHAL",3,"GU-1","X","33","42.7","NULL","T","Anacardiaceae","Spondias","Spondias purpurea","L.","spondias_purpurea","Anacardiaceae/Spondias/Spondias_purpurea"
"3",676141,"Guanacaste",26284,"HACHAL",3,"GU-1","III","13","22.6","NULL","T","Apocynaceae","Stemmadenia","Stemmadenia pubescens","Benth.","stemmadenia_pubescens","Apocynaceae/Stemmadenia/Stemmadenia_pubescens"
"4",676142,"Guanacaste",26284,"HACHAL",3,"GU-1","III","15","25.3","NULL","T","Apocynaceae","Stemmadenia","Stemmadenia pubescens","Benth.","stemmadenia_pubescens","Apocynaceae/Stemmadenia/Stemmadenia_pubescens"
"5",676143,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","1","5.1","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"6",676144,"Guanacaste",26284,"HACHAL",3,"GU-1","I","15","42.4","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"7",676145,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","6","13.4","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"8",676146,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","13","35.1","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"9",676147,"Guanacaste",26284,"HACHAL",3,"GU-1","VI","14","39.3","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"10",676148,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","2","6.1","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"11",676149,"Guanacaste",26284,"HACHAL",3,"GU-1","VIII","22","29.9","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"12",676150,"Guanacaste",26284,"HACHAL",3,"GU-1","IX","3","21.6","NULL","T","Arecaceae","Acrocomia","Acrocomia aculeata","(Jacq.) Lodd. ex Mart.","acrocomia_aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata"
"13",676151,"Guanacaste",26284,"HACHAL",3,"GU-1","III","10","20.7","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"14",676152,"Guanacaste",26284,"HACHAL",3,"GU-1","III","11","20.2","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"15",676153,"Guanacaste",26284,"HACHAL",3,"GU-1","III","14","22.2","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"16",676154,"Guanacaste",26284,"HACHAL",3,"GU-1","III","27","47.4","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"17",676155,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","6","16.3","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"18",676156,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","9","19.8","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"19",676157,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","10","25.5","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"20",676158,"Guanacaste",26284,"HACHAL",3,"GU-1","IV","13","27.6","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"21",676159,"Guanacaste",26284,"HACHAL",3,"GU-1","V","3","5","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"22",676160,"Guanacaste",26284,"HACHAL",3,"GU-1","V","14","25","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"23",676161,"Guanacaste",26284,"HACHAL",3,"GU-1","V","18","46.5","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
"24",676162,"Guanacaste",26284,"HACHAL",3,"GU-1","VII","6","17.9","NULL","L","Bignoniaceae","Arrabidaea","Arrabidaea patellifera","(Schltdl.) Sandwith","arrabidaea_patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera"
