"","Source_ID","Site","Plot_Name","State.province","Locality_description","Habitat","Habit","Latitude","Longitude","Elevation.m.","Morpho_species","Family","Genus","Species","Taxon","Average_DBH.cm.","X.C","X.N","C.N","d13C","d15N","X.P","N.P","N.C","X._of_leaves","Scanned_WetLeaf_area.cm.2.","Dry_Mass.g.","SLA_Punch","SLA.cm.2.g.","SLA..m_.kg.","Average_SLA.cm.2.g.","Plot_Abundance.N.","Species_Abundance.n."
"1","Vanessa_1044","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Apocynaceae","","","",5,44.16805,2.352596,18.77417542,NA,NA,0.093461,25.17197384,0.053264656,"",NA,0.058,NA,286.0344828,28.60344828,NA,408,27
"2","Vanessa_1045","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Lauraceae","","","",29.5,47.0038,3.226192,14.56943666,NA,NA,0.119638,26.96625644,0.068636834,"",NA,0.084,NA,197.5,19.75,NA,408,NA
"3","Vanessa_1046","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Lauraceae","","","",3.2,50.7251,2.53402,20.01763996,NA,NA,0.090326,28.05414607,0.049955939,"",NA,0.108,NA,153.6111,15.36111,NA,408,NA
"4","Vanessa_1047","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Rubiaceae","Coussarea","caroliana","Coussarea caroliana",3.3,39.4617,2.385134,16.5448566,NA,NA,0.076518,31.17100677,0.060441745,"",NA,0.053,NA,313.0189,31.30189,NA,408,19
"5","Vanessa_1048","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Rubiaceae","Coussarea","caroliana","Coussarea caroliana",4.3,40.6955,2.87419,14.15894565,NA,NA,0.083102,34.58646259,0.070626728,"",NA,NA,NA,NA,NA,NA,408,19
"6","Vanessa_1049","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Rubiaceae","Rudgea","laevis","Rudgea laevis",26.5,44.377,2.030174,21.85871753,NA,NA,0.061233,33.15512791,0.045748338,"",NA,0.114,NA,145.5263,14.55263,NA,408,NA
"7","Vanessa_1050","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Lianna",10.9285,-85.4653,1225,NA,"Combretaceae","Combretum","","",5,45.893604,1.63836,28.01191679,NA,NA,0.148462,11.0355636,0.035699092,"",NA,0.065,NA,127.6154,12.76154,NA,408,2
"8","Vanessa_1051","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Lauraceae","","","",5.5,51.13305,2.611914,19.57685054,NA,NA,0.077687,33.62111837,0.051080739,"",NA,0.11,NA,150.8182,15.08182,NA,408,NA
"9","Vanessa_1052","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Lauraceae","Persea","","",12.7,49.4714,2.032146,24.34441226,NA,NA,0.093132,21.8200822,0.041077188,"",NA,0.13,NA,127.6154,12.76154,NA,408,NA
"10","Vanessa_1053","Cacao","Cacao-1","Guanacaste","_1_km_above_Cacao_Biological_Station._Pacific_slope_of_Cacao_Volcano.","Tropical_premontane_moist_forest,_wet_transition","Tree",10.9285,-85.4653,1225,NA,"Hippocastanaceae","Billia","columbiana","Billia columbiana",6.4,47.851512,1.975872,24.217921,NA,NA,0.127749,15.466808,0.041291736,"",NA,0.108,NA,153.6111,15.36111,NA,408,3
