"","State.province","Elevation.m.","Latitude","Genus","Taxon","Leaf area per leaf dry mass (specific leaf area, SLA)","Plant height","Seed dry mass","Leaf nitrogen (N) isotope signature (delta 15N)","Leaf nitrogen/phosphorus (N/P) ratio","Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)","Leaf carbon/nitrogen (C/N) ratio"
"1","Guanacaste",1225,10.9285,"","",28.60344828,NA,NA,NA,25.17197384,NA,18.77417542
"2","Guanacaste",1225,10.9285,"","",19.75,NA,NA,NA,26.96625644,NA,14.56943666
"3","Guanacaste",1225,10.9285,"","",15.36111,NA,NA,NA,28.05414607,NA,20.01763996
"4","Guanacaste",1225,10.9285,"Coussarea","Coussarea caroliana",31.30189,NA,NA,NA,31.17100677,NA,16.5448566
"5","Guanacaste",1225,10.9285,"Coussarea","Coussarea caroliana",NA,NA,NA,NA,34.58646259,NA,14.15894565
"6","Guanacaste",1225,10.9285,"Rudgea","Rudgea laevis",14.55263,NA,NA,NA,33.15512791,NA,21.85871753
"7","Guanacaste",1225,10.9285,"Combretum","",12.76154,NA,NA,NA,11.0355636,NA,28.01191679
"8","Guanacaste",1225,10.9285,"","",15.08182,NA,NA,NA,33.62111837,NA,19.57685054
"9","Guanacaste",1225,10.9285,"Persea","",12.76154,NA,NA,NA,21.8200822,NA,24.34441226
"10","Guanacaste",1225,10.9285,"Billia","Billia columbiana",15.36111,NA,NA,NA,15.466808,NA,24.217921
"11","Guanacaste",1225,10.9285,"Trophis","Trophis mexicana",18.64045,NA,NA,NA,36.82683978,NA,21.29687534
"12","Guanacaste",1225,10.9285,"Pouteria","",22.12,NA,NA,NA,34.18517123,NA,16.63142948
"13","Guanacaste",1225,10.9285,"Rourea","Rourea schippii",12.47368,NA,NA,NA,22.21445138,NA,23.96118426
"14","Guanacaste",1225,10.9285,"Pouteria","",30.72222,NA,NA,NA,21.45352499,NA,15.95969002
"15","Guanacaste",1225,10.9285,"","",9.534483,NA,NA,NA,25.13603989,NA,23.79884967
"16","Guanacaste",1225,10.9285,"Lonchocarpus","Lonchocarpus oliganthus",24.39706,NA,NA,NA,30.14008171,NA,11.21808919
"17","Guanacaste",1225,10.9285,"Symphonia","Symphonia globulifera",21.26923,NA,NA,NA,28.72847332,NA,20.16508149
"18","Guanacaste",1225,10.9285,"Inga","Inga longispica",17.46316,NA,NA,NA,43.74955867,NA,15.03542249
"19","Guanacaste",1225,10.9285,"Euphorbia","Euphorbia elata",18.85227,NA,NA,NA,17.28778851,NA,18.06063378
"20","Guanacaste",1225,10.9285,"","",18.85227,NA,NA,NA,33.48642397,NA,25.77341069
"21","Guanacaste",1225,10.9285,"Desmopsis","Desmopsis microcarpa",24.04348,NA,NA,NA,47.76858393,NA,14.24634862
"22","Guanacaste",1225,10.9285,"Guarea","Guarea rhopalocarpa",17.64894,NA,NA,NA,19.46479977,NA,17.25619642
"23","Guanacaste",1225,10.9285,NA,"",21.5454545,NA,NA,NA,NA,NA,NA
"24","Guanacaste",1225,10.9285,"Calyptranthes","",18.23077,NA,NA,NA,38.00544506,NA,28.26707246
"25","Guanacaste",1225,10.9285,"","",11.13423,NA,NA,NA,31.91036264,NA,23.12365431
"26","Guanacaste",1225,10.9285,"","",22.41892,NA,NA,NA,27.89197035,NA,17.42441433
"27","Guanacaste",1225,10.9285,"","",19.51765,NA,NA,NA,25.38866921,NA,18.16630903
"28","Guanacaste",1225,10.9285,"Miconia","Miconia brenesii",31.90385,NA,NA,NA,35.79442016,NA,14.24664991
"29","Guanacaste",1225,10.9285,NA,"",25.52308,NA,NA,NA,20.59657027,NA,13.22187141
"30","Guanacaste",1225,10.9285,NA,"",9.534483,NA,NA,NA,26.70469692,NA,22.67750376
"31","Guanacaste",1225,10.9285,"Lubaria","Lubaria aroensis",15.50467,NA,NA,NA,59.07294454,NA,14.81159012
"32","Guanacaste",1225,10.9285,"Cestrum","",26.75806,NA,NA,NA,42.65135148,NA,15.26696238
"33","Guanacaste",1225,10.9285,"Lonchocarpus","Lonchocarpus oliganthus",18.43333,NA,NA,NA,24.36913796,NA,12.33689835
"34","Guanacaste",1225,10.9285,NA,"",10.63462,NA,NA,NA,43.53087064,NA,20.75612656
"35","Guanacaste",1225,10.9285,NA,"",16.0972277,NA,NA,NA,NA,NA,NA
"36","Guanacaste",1225,10.9285,NA,"",10.2092308,NA,NA,NA,NA,NA,NA
"37","Guanacaste",1225,10.9285,NA,"",11.9545588,NA,NA,NA,NA,NA,NA
"38","Guanacaste",1225,10.9285,NA,"",18.6404494,NA,NA,NA,NA,NA,NA
"39","Guanacaste",1225,10.9285,NA,"",13.4436207,NA,NA,NA,NA,NA,NA
"40","Guanacaste",1225,10.9285,"Malpighia","Malpighia albiflora",58.065,NA,NA,NA,NA,NA,9.374142105
"41","Guanacaste",1225,10.9285,"Cassipourea","Cassipourea elliptica",16.42574,NA,NA,NA,28.1821072,NA,17.19434373
"42","Guanacaste",1225,10.9285,"Myrcia","Myrcia splendens",15.13474,NA,NA,NA,27.4086442,NA,26.00553879
"43","Guanacaste",1225,10.9285,"Roupala","Roupala montana",10.43396,NA,NA,NA,27.06218365,NA,31.56076405
"44","Guanacaste",1225,10.9285,"Dussia","Dussia macroprophyllata",24.04348,NA,NA,NA,11.65904347,NA,17.79505286
"45","Guanacaste",1225,10.9285,"","",22.72603,NA,NA,NA,49.95544008,NA,10.13706176
"46","Guanacaste",1225,10.9285,"Faramea","",16.59,NA,NA,NA,19.12706007,NA,21.58841769
"47","Guanacaste",1225,10.9285,"Inga","Inga mortoniana",16.75758,NA,NA,NA,33.44447047,NA,14.26335242
"48","Guanacaste",1225,10.9285,"","",25.13636,NA,NA,NA,62.37769865,NA,12.45351681
