"","plotID","accessCode","projectID","Gradient","Color","plotCode","plotNameFull","country","stateProvince","countyParish","latitude","longitude","elevation_m","localityDescription","plotMethod","plotAreaHa","dateCollected","plotAdministrator"
"1",26269,2,10,"Sequoia","blue","SNP5","SNP5","USA","California","Tulare",36.632,-118.834,2103,"Sequoia National Park. Muir Grove Trail. Ridge crest just before Muir Grove of giant sequoias.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","9/12/08","bboyle"
"2",26272,2,10,"Sequoia","blue","SNP8","SNP8","USA","California","Tulare",36.5704,-118.8,1608,"Ridge and S-facing slope below Crystal  Cave Road.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","6/13/09","bboyle"
"3",26270,2,10,"Sequoia","blue","SNP6","SNP6","USA","California","Tulare",36.5172,-118.798,686,"Sequoia National Park. South-facing slopes above aqueduct along NE side of Potwisha campground.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","6/10/09","bboyle"
"4",26271,2,10,"Sequoia","blue","SNP7","SNP7","USA","California","Tulare",36.5167,-118.787,757,"Sequoia National Park. Low-angled gulley  to W of Kaweah River, just below highway between Potwisha  Campfround and Hospital Flat.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","6/12/09","bboyle"
"5",26266,2,10,"Sequoia","blue","SNP2","SNP2","USA","California","Tulare",36.5381,-118.773,1203.5,"Sequoia National Park. Highwaty from Ash Mountain to Lodgepole. W-facing slope above Fern Spring pullout.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","9/9/08","bboyle"
"6",26265,2,10,"Sequoia","blue","SNP1","SNP1","USA","California","Tulare",36.5603,-118.764,1933.5,"Sequoia Natioinal Park. ""Giant Forest"" area. Uphill from first switchback in Alta Trail, just above junction with Soldier Trail.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","9/9/08","bboyle"
"7",26268,2,10,"Sequoia","blue","SNP4","SNP4","USA","California","Tulare",36.4735,-118.602,2742,"Sequoia National Park. Mineral King Area. Timber Gap Trail. About 0.5 mi. W of Timber Gap.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","9/11/08","bboyle"
"8",26267,2,10,"Sequoia","blue","SNP3","SNP3","USA","California","Tulare",36.4444,-118.575,3187,"Sequoia National Park. Mineral King area. Crystal Lake Trail. On S-facing slope just below ridge near treeline. High point before descent to Cold Spring Campground.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","9/10/08","bboyle"
"9",26278,2,10,"Lemmon","green","LSV","Lower Ski Valley","USA","Arizona","Pima",32.4468,-110.777,2542,"Mount Lemmon east of Ski Valley area. North of Ski Valley plot. Near Aspen Draw trail head.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","10/14/10","benquist"
"10",26277,2,10,"Lemmon","green","SkiValley","Ski Valley","USA","Arizona","Pima",32.4432,-110.775,2529,"Mount Lemmon to the east of ski area, Aspen Draw Trail. Main axis runs downhill into moist gully.","0.1 ha  transect, stems >= 2.5 cm dbh","0.1","9/21/10","benquist"
