"","State.province","Elevation.m.","Latitude","Genus","Taxon","FullTax","Sp.abund","Plot.abund","Weights"
"1","Guanacaste",3,"10.9257","Spondias","Spondias purpurea","Anacardiaceae/Spondias/Spondias_purpurea",2,225,0.00888888888888889
"3","Guanacaste",3,"10.9257","Stemmadenia","Stemmadenia pubescens","Apocynaceae/Stemmadenia/Stemmadenia_pubescens",2,225,0.00888888888888889
"5","Guanacaste",3,"10.9257","Acrocomia","Acrocomia aculeata","Arecaceae/Acrocomia/Acrocomia_aculeata",8,225,0.0355555555555556
"13","Guanacaste",3,"10.9257","Arrabidaea","Arrabidaea patellifera","Bignoniaceae/Arrabidaea/Arrabidaea_patellifera",20,225,0.0888888888888889
"33","Guanacaste",3,"10.9257","Bignonia","Bignonia aequinoctialis","Bignoniaceae/Bignonia/Bignonia_aequinoctialis",1,225,0.00444444444444444
"34","Guanacaste",3,"10.9257","BignoniaceaeIndet","BignoniaceaeIndet sp6","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp6",11,225,0.0488888888888889
"45","Guanacaste",3,"10.9257","Tabebuia","Tabebuia ochracea","Bignoniaceae/Tabebuia/Tabebuia_ochracea",19,225,0.0844444444444444
"64","Guanacaste",3,"10.9257","Tabebuia","Tabebuia rosea","Bignoniaceae/Tabebuia/Tabebuia_rosea",4,225,0.0177777777777778
"68","Guanacaste",3,"10.9257","Cordia","Cordia alliodora","Boraginaceae/Cordia/Cordia_alliodora",61,225,0.271111111111111
"129","Guanacaste",3,"10.9257","Semialarium","Semialarium paniculatum","Celastraceae/Semialarium/Semialarium_paniculatum",2,225,0.00888888888888889
"131","Guanacaste",3,"10.9257","Cochlospermum","Cochlospermum vitifolium","Bixaceae/Cochlospermum/Cochlospermum_vitifolium",1,225,0.00444444444444444
"132","Guanacaste",3,"10.9257","Vachellia","Vachellia collinsii","Fabaceae/Vachellia/Vachellia_collinsii",14,225,0.0622222222222222
"146","Guanacaste",3,"10.9257","Albizia","Albizia adinocephala","Fabaceae/Albizia/Albizia_adinocephala",1,225,0.00444444444444444
"147","Guanacaste",3,"10.9257","Bauhinia","Bauhinia ungulata","Fabaceae/Bauhinia/Bauhinia_ungulata",4,225,0.0177777777777778
"151","Guanacaste",3,"10.9257","Lonchocarpus","Lonchocarpus costaricensis","Fabaceae/Lonchocarpus/Lonchocarpus_costaricensis",9,225,0.04
"160","Guanacaste",3,"10.9257","Lonchocarpus","Lonchocarpus parviflorus","Fabaceae/Lonchocarpus/Lonchocarpus_parviflorus",16,225,0.0711111111111111
"176","Guanacaste",3,"10.9257","Machaerium","Machaerium biovulatum","Fabaceae/Machaerium/Machaerium_biovulatum",2,225,0.00888888888888889
