"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"1","","Brosimum guianense","Nardoto Rondonia","",NA,""
"2","","Brosimum guianense","-63.383333","",-63.383333,""
"3","","Brosimum guianense","-8.75","",-8.75,""
"4","Species ocurrence range: climate type","Brosimum guianense","Continental","",NA,""
"5","","Brosimum guianense","4.89499998","",NA,""
"6","","Brosimum guianense","25","C",NA,""
"7","","Brosimum guianense","2300","mm/yr",NA,""
"8","Plant nitrogen fixation capacity","Brosimum guianense","No","",NA,""
"9","Leaf nitrogen (N) content per leaf dry mass","Brosimum guianense","2.71","%",27.1,"mg/g"
"10","Leaf phosphorus (P) content per leaf dry mass","Brosimum guianense","0.13653952","%",1.3653952,"mg/g"
"11","Leaf nitrogen/phosphorus (N/P) ratio","Brosimum guianense","19.8477335","g/g",19.8477335,"g/g"
"12","Leaf nitrogen (N) isotope signature (delta 15N)","Brosimum guianense","6.84","per mill",6.84,"per mill"
"13","","Brosimum guianense","Nardoto Rondonia","",NA,""
"14","","Brosimum guianense","-63.383333","",-63.383333,""
"15","","Brosimum guianense","-8.75","",-8.75,""
"16","Species ocurrence range: climate type","Brosimum guianense","Continental","",NA,""
"17","","Brosimum guianense","4.89499998","",NA,""
"18","","Brosimum guianense","25","C",NA,""
"19","","Brosimum guianense","2300","mm/yr",NA,""
"20","Plant nitrogen fixation capacity","Brosimum guianense","No","",NA,""
"21","Leaf nitrogen (N) content per leaf dry mass","Brosimum guianense","2.29","%",22.9,"mg/g"
"22","Leaf phosphorus (P) content per leaf dry mass","Brosimum guianense","0.0832412","%",0.832412,"mg/g"
"23","Leaf nitrogen/phosphorus (N/P) ratio","Brosimum guianense","27.5104155","g/g",27.5104155,"g/g"
"24","Leaf nitrogen (N) isotope signature (delta 15N)","Brosimum guianense","6.83","per mill",6.83,"per mill"
"25","","Brosimum guianense","Nardoto Rondonia","",NA,""
"26","","Brosimum guianense","-63.383333","",-63.383333,""
"27","","Brosimum guianense","-8.75","",-8.75,""
"28","Species ocurrence range: climate type","Brosimum guianense","Continental","",NA,""
"29","","Brosimum guianense","4.89499998","",NA,""
"30","","Brosimum guianense","25","C",NA,""
"31","","Brosimum guianense","2300","mm/yr",NA,""
"32","Plant nitrogen fixation capacity","Brosimum guianense","No","",NA,""
"33","Leaf nitrogen (N) content per leaf dry mass","Brosimum guianense","1.89","%",18.9,"mg/g"
"34","Leaf nitrogen (N) isotope signature (delta 15N)","Brosimum guianense","5.92","per mill",5.92,"per mill"
"35","","Brosimum guianense","Nardoto Rondonia","",NA,""
"36","","Brosimum guianense","-63.383333","",-63.383333,""
"37","","Brosimum guianense","-8.75","",-8.75,""
"38","Species ocurrence range: climate type","Brosimum guianense","Continental","",NA,""
"39","","Brosimum guianense","4.89499998","",NA,""
"40","","Brosimum guianense","25","C",NA,""
"41","","Brosimum guianense","2300","mm/yr",NA,""
"42","Plant nitrogen fixation capacity","Brosimum guianense","No","",NA,""
"43","Leaf nitrogen (N) content per leaf dry mass","Brosimum guianense","1.8","%",18,"mg/g"
"44","Leaf nitrogen (N) isotope signature (delta 15N)","Brosimum guianense","6.7","per mill",6.7,"per mill"
"45","","Brosimum guianense","Nardoto Rondonia","",NA,""
"46","","Brosimum guianense","-63.383333","",-63.383333,""
"47","","Brosimum guianense","-8.75","",-8.75,""
"48","Species ocurrence range: climate type","Brosimum guianense","Continental","",NA,""
"49","","Brosimum guianense","4.89499998","",NA,""
"50","","Brosimum guianense","25","C",NA,""
"51","","Brosimum guianense","2300","mm/yr",NA,""
"52","Plant nitrogen fixation capacity","Brosimum guianense","No","",NA,""
"53","Leaf nitrogen (N) content per leaf dry mass","Brosimum guianense","1.77","%",17.7,"mg/g"
"54","Leaf nitrogen (N) isotope signature (delta 15N)","Brosimum guianense","7.88","per mill",7.88,"per mill"
"55","","Helicostylis tomentosa","Nardoto Rondonia","",NA,""
"56","","Helicostylis tomentosa","-63.383333","",-63.383333,""
"57","","Helicostylis tomentosa","-8.75","",-8.75,""
"58","Species ocurrence range: climate type","Helicostylis tomentosa","Continental","",NA,""
"59","","Helicostylis tomentosa","4.89499998","",NA,""
"60","","Helicostylis tomentosa","25","C",NA,""
"61","","Helicostylis tomentosa","2300","mm/yr",NA,""
"62","Plant nitrogen fixation capacity","Helicostylis tomentosa","No","",NA,""
"63","Leaf nitrogen (N) content per leaf dry mass","Helicostylis tomentosa","2.6","%",26,"mg/g"
"64","Leaf phosphorus (P) content per leaf dry mass","Helicostylis tomentosa","0.21125653","%",2.1125653,"mg/g"
"65","Leaf nitrogen/phosphorus (N/P) ratio","Helicostylis tomentosa","12.3073119","g/g",12.3073119,"g/g"
"66","Leaf nitrogen (N) isotope signature (delta 15N)","Helicostylis tomentosa","6.45","per mill",6.45,"per mill"
"67","","Helicostylis tomentosa","Nardoto Rondonia","",NA,""
"68","","Helicostylis tomentosa","-63.383333","",-63.383333,""
"69","","Helicostylis tomentosa","-8.75","",-8.75,""
"70","Species ocurrence range: climate type","Helicostylis tomentosa","Continental","",NA,""
"71","","Helicostylis tomentosa","4.89499998","",NA,""
"72","","Helicostylis tomentosa","25","C",NA,""
"73","","Helicostylis tomentosa","2300","mm/yr",NA,""
"74","Plant nitrogen fixation capacity","Helicostylis tomentosa","No","",NA,""
"75","Leaf nitrogen (N) content per leaf dry mass","Helicostylis tomentosa","2.31","%",23.1,"mg/g"
"76","Leaf phosphorus (P) content per leaf dry mass","Helicostylis tomentosa","0.08343352","%",0.8343352,"mg/g"
"77","Leaf nitrogen/phosphorus (N/P) ratio","Helicostylis tomentosa","27.6867139","g/g",27.6867139,"g/g"
"78","Leaf nitrogen (N) isotope signature (delta 15N)","Helicostylis tomentosa","9.56","per mill",9.56,"per mill"
"79","","Minquartia guianensis","Nardoto Rondonia","",NA,""
"80","","Minquartia guianensis","-63.383333","",-63.383333,""
"81","","Minquartia guianensis","-8.75","",-8.75,""
"82","Species ocurrence range: climate type","Minquartia guianensis","Continental","",NA,""
"83","","Minquartia guianensis","4.89499998","",NA,""
"84","","Minquartia guianensis","25","C",NA,""
"85","","Minquartia guianensis","2300","mm/yr",NA,""
"86","Plant nitrogen fixation capacity","Minquartia guianensis","No","",NA,""
"87","Leaf nitrogen (N) content per leaf dry mass","Minquartia guianensis","3.19","%",31.9,"mg/g"
"88","Leaf phosphorus (P) content per leaf dry mass","Minquartia guianensis","0.05235952","%",0.5235952,"mg/g"
"89","Leaf nitrogen/phosphorus (N/P) ratio","Minquartia guianensis","60.9249283","g/g",60.9249283,"g/g"
